SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |1|CPF/CNPJ OBRIGATORIO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |80|TIPO DE NOTA NA GERAÇÃO DA NF DOS CONTRATOS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |81|PLANO DE PAGAMENTO NA GERAÇÃO DA NF DOS CONTRATOS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |82|ALIQUOTA DE ISS NA GERAÇÃO DOS CONTRATOS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |83|PLANO DE CONTAS - TOTALIZADOR DAS RECEITAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |84|PLANO DE CONTAS - TOTALIZADOR DAS DESPESAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |85|QUITAR ENTRADAS E NOTAS À VISTA AUTOMATICAMENTE|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |86|MÁSCARA DO PLANO DE CONTAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |87|MÁSCARA DO CENTRO DE CUSTO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |88|Nº NOTA FISCAL DE SAÍDA AUTOMÁTICO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |89|CÓDIGO FISCAL PADRÃO PARA ENTRADA DENTRO DO ESTADO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |90|CÓDIGO FISCAL PADRÃO PARA ENTRADA FORA DO ESTADO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |91|CÓDIGO FISCAL PADRÃO PARA SAÍDA DENTRO DO ESTADO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |92|CÓDIGO FISCAL PADRÃO PARA SAÍDA FORA DO ESTADO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |93|CATEGORIA DE CLIENTES DE SOFTWARE SEM CONTRATOS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |94|EXIBIR NA ORDEM DE SERVICO MATERIAL DE CONSUMO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |95|EXIBIR NA VENDA LOCAL DE ENTREGA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |96|EXIBIR DADOS ESPECIFICOS PARA ORCAMENTO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |97|FUNÇÃO DE QUEM EXECUTA OS SERVIÇOS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |98|CENTRO DE CUSTO PADRÃO PARA VENDA DE MERCADORIAS SEM CADASTRO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |99|PLANO DE CONTA PADRÃO PARA VENDA DE MERCADORIAS SEM CADASTRO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |100|CENTRO DE CUSTO PADRÃO PARA SERVIÇOS SEM CADASTRO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |101|PLANO DE CONTA PADRÃO PARA SERVIÇOS SEM CADASTRO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |102|CODIGO DO CLIENTE PARA VENDA COM CLIENTE SEM CADASTRO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |103|PERMITIR DESCONTO NA NOTA EM MERCADORIAS NÃO CADASTRADAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |104|MUDANÇA NA COND.PAGTO DA NOTA: 1-NUNCA MUDAR PRECO  2- PERGUNTAR  3-AUTOMATICO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |105|FORMA DE PAGAMENTO PADRAO NO VALOR DE ENTRADA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |106|FORMA DE PAGAMENTO PADRAO NO RESTANTE DO PAGAMENTO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |107|TÍTULO PARA PREÇO DE CUSTO PARA MERCADORIA NÃO CADASTRADA E SERVIÇOS EXTERNOS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |108|ACEITAR MERCADORIAS SEM CADASTRO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |109|ACEITAR SERVICOS SEM CADASTRO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |110|TÍTULO DA JANELA DE VENDA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |111|GERAR PARCELAS DA NOTA DE VENDA POR DATA: 1-EMISSAO 2-FECHAMENTO 3-BALANCO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |112|GERAR PARCELAS DA ORDEM SERVIÇO  POR DATA: 1-EMISSAO 2-FECHAMENTO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |113|NOTA/OS COM NUMERAÇÃO: 1 - AVULSA OU 2 - SEQUENCIAL|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |114|UNIDADE PADRÃO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |115|TÍTULO CÓDIGO PADRÃO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |116|TIPO DE NOTA NO ACERTO DO SALDO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |117|TIPO DE NOTA NO ACERTO DO SALDO GRADE|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |118|TÍTULO PARA O SALDO DA GRADE|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |119|HABILITAR COR NA TELA DE CADASTRO DE MERCADORIAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |120|CST PADRÃO NO CADASTRO DE MERCADORIAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |121|ALÍQUOTA PADRÃO NO CADASTRO DE MERCADORIAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |122|NOTA DE VENDA CONSIGNADA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |123|COMISSÃO NO ATO DO(A): 1) RECEBIMENTO INTEGRAL 2) VENDA 3) RECEBIMENTO SEM JUROS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |124|COMISSÃO PELO VENDEDOR: 1) DA NOTA  2)  DA MERCADORIA 3) DO CLIENTE|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |125|COMISSÃO - BASE DE CÁLCULO: 1) PREÇO À VISTA  2) PREÇO NORMAL|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |126|COMISSÃO POR: 1) VENDEDOR  2) FORMA PGTO  3) COND.PAGTO  4) SETOR|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |127|MODELO DA NOTA DE VENDA: 1) JATO TINTA 2) CUPOM 3) MATRICIAL|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |128|MENSAGEM DA NOTA VENDA 1|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |129|MENSAGEM DA NOTA VENDA 2|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |130|MENSAGEM DA NOTA VENDA 3|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |131|IMPRIMIR LOGOMARCA NOS RELATÓRIOS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |132|CAMINHO DA LOGOMARCA DA EMPRESA - PEQUENA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |133|PLANO DE PAGAMENTO À VISTA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |134|ATIVAR TESTE LIMITE DE CRÉDITO NA VENDA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |135|BLOQUEAR VENDA PARA CLIENTE COM ATRASO SUPERIOR À (Nº DIAS)|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |136|BLOQUEAR VENDA PARA CLIENTE INATIVO À MAIS DE (Nº DIAS)|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |137|MERC.NA APROVACAO ORCAMENTO: 1) NÃO REPASSAR 2) PERGUNTAR 3) PASSAR AUTOMATICO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |138|TIPO DE NOTA ORDEM DE SERVICO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |139|PROVENTO/DESCONTO RELATIVO A SALÁRIOS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |140|PROVENTO/DESCONTO RELATIVO A ABONO SALARIAL|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |141|SAIR ENDEREÇO DO CLIENTE OU FORNECEDOR NA IMPRESSÃO DAS CARTAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |142|TABELA DE PREÇOS: DESCRIÇÃO PREÇO 1|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |143|TABELA DE PREÇOS: DESCRIÇÃO PREÇO 2|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |144|TABELA DE PREÇOS: DESCRIÇÃO PREÇO 3|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |145|TABELA DE PREÇOS: CONDIÇÃO PAGAMENTO PREÇO 1|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |146|TABELA DE PREÇOS: CONDIÇÃO PAGAMENTO PREÇO 2|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |147|TABELA DE PREÇOS: CONDIÇÃO PAGAMENTO PREÇO 3|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |148|CÓD.BARRA: 1) 128A  2) 128B  3) 128C  4) 2e5l  5) 39  6) EAN13  7) EAN8  8) UPCA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |149|ESPAÇAMENTO DO CÓDIGO DE BARRA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |150|TAMANHO DA ETIQUETA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |151|NÚMERO DE COLUNAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |152|NÚMERO DE LINHAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |153|PREÇO 1 NA ETIQUETA DE MERCADORIA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |154|PREÇO 2 NA ETIQUETA DE MERCADORIA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |155|SAIR PREÇO DE CUSTO CODIFICADO COM PALAVRA CHAVE|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |156|PALAVRA CHAVE PARA O PRECO CUSTO CODIFICADO SEQUENCIA: 1234567890|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |157|SAIR PREÇO(S) DE VENDA NA ETIQUETA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |158|DESCRICAO DO PRECO 1 NA ETIQUETA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |159|DESCRICAO DO PRECO 2 NA ETIQUETA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |160|ACEITAR SERVIÇOS COM PREÇO ZERADO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |161|COMISSÃO: CALCULAR SOBRE PEÇAS AVULSAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |162|PEDIR VENDEDOR AO LANCAR ÍTENS (OPÇÃO = "NÃO",  VENDEDOR SERÁ O QUE ABRIU NOTA)|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |163|CONDIÇÃO PAGAMENTO PARA O PREÇO VENDA NA TELA DE BUSCA MERCADORIAS (F6)|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |164|IMPRIMIR CÓD.FABRICANTE NA ETIQUETA MERCADORIA (MODELO: CÓDIGO BARRA)|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |165|TIPO DE PREÇO NA ETIQUETA: 1) VALOR TOTAL  2) VALOR DA PARCELA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |166|CAMINHO DA EXPORTAÇÃO DO ECF|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |167|CAMINHO DA IMPORTAÇÃO PARA O ECF|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |168|USA ECF|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |169|CÓDIGO FISCAL NA IMPORTAÇÃO ECF|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |170|TIPO DE NOTA NA IMPORTAÇÃO ECF|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |171|EXIBIR COMPLEMENTO DA DESCRIÇÃO NA EMISSÃO NF|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |172|OBSERVAÇÃO INTERESSE DO CONTRIBUINTE NA EMISSÃO NOTA FISCAL (1)|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |173|OBSERVAÇÃO  INTERESSE DO CONTRIBUINTE NA EMISSÃO NOTA FISCAL (2)|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |174|CAPTURAR MERCADORIAS DE ORÇAMENTOS NA NOTA FISCAL DE SAÍDA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |175|VISUALIZAR NA TELA DE BUSCA NAS VENDAS: 1) NOME FANTASIA 2) COMPRADOR|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |176|TRABALHAR COM REQUISIÇÃO DE PEÇAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |177|TIPO DE NOTA PARA DEVOLUÇÕES DE VENDAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |178|OCULTAR MERCADORIAS COM O SALDO FINAL ZERADO NA REQUISIÇÃO DE MERCADORIAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |179|TIPO DE CÓDIGO DA MERCADORIA PARA GRUPO+SEQUÊNCIA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |180|TRABALHAR COM O CÓDIGO DA MERCADORIA TIPO: GRUPO+SEQUÊNCIA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |181|VISUALIZAR F5/F8 INICIALMENTE VAZIO SE O Nº DE CLIENTES FOR GRANDE|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |182|VISUALIZAR F6 INICIALMENTE VAZIO SE O Nº DE MERCADORIAS FOR GRANDE|
